content,author,date,retweets,likes,url
Deliveroo aims to sell $1.4 billion of new shares in upcoming IPODeliveroo said on Monday that it plans to sell around 1 billion pounds ($1.39 billion) of new shares...,Reuters via Yahoo News Singapore,2021-03-15,,,https://sg.news.yahoo.com/deliveroo-aims-sell-1-4-071559418.html
"The Real Cost of Food Delivery in SingaporeHow much more are you really paying when you order from foodpanda, GrabFood or Deliveroo? If online food delivery was a convenience before, the COVID-19...",SingSaver via Yahoo Singapore Finance,2021-03-19,,,https://sg.finance.yahoo.com/news/real-cost-food-delivery-singapore-071803384.html
Deliveroo aims to raise £1bn from London stock market flotationDeliveroo is planning to raise £1bn from its stock market flotation. The meal delivery company...,The Guardian via Yahoo News,2021-03-15,,,https://sg.yahoo.com/finance/news/deliveroo-aims-raise-1bn-london-083447148.html
"Uber prompts praise, and scepticism, after granting UK drivers worker statusUS ride-hailing giant Uber's decision to grant its UK drivers worker status won praise in Britain on...",AFP News via Yahoo News Singapore,2021-03-18,,,https://sg.news.yahoo.com/uber-wins-praise-granting-uk-130029091.html
"Uber grants UK drivers worker status in world firstUber on Tuesday said it is granting its UK drivers worker status, with benefits including a minimum wage -- a world first for the US ride-hailing giant....",AFP Relax via Yahoo Style Singapore,2021-03-17,,,https://sg.style.yahoo.com/uber-grants-uk-drivers-worker-012005349.html
"Citi Cash Back Card Review: 8% Cashback On Groceries And Petrol, 6% On DiningIf you're the head of the household with groceries and petrol as two of your key spending...",SingSaver via Yahoo Singapore Finance,2021-03-15,,,https://sg.finance.yahoo.com/news/citi-cash-back-card-review-013628679.html
"Best Citibank Credit Cards In Singapore (2021)Citibank boasts a credit card for every lifestyle need, with each being laden with top-shelf member privileges. Citibank is one of the most recognised...",SingSaver via Yahoo Singapore Finance,2021-03-15,,,https://sg.finance.yahoo.com/news/best-citibank-credit-cards-singapore-022506237.html
"From Tipperary to Silicon Valley: how Stripe became vital cog in digital economyThis has boosted Stripe’s valuation to a whopping $95bn, making it the most valuable of Silicon...",The Guardian via Yahoo News,2021-03-17,,,https://sg.yahoo.com/finance/news/tipperary-silicon-valley-stripe-became-060008163.html
"Stripe continues cash haul, now valued at $95 billionThe online payment company Stripe continues to attract investors, raising $600 million in funding to...",Associated Press via Yahoo Singapore Finance,2021-03-16,,,https://sg.finance.yahoo.com/news/stripe-raises-600m-company-valued-120126000.html
Silicon Valley's Stripe valued at $95bn after fundraisingThe digital payments firm Stripe has been valued at $95bn after a funding round that makes the...,The Guardian via Yahoo News,2021-03-16,,,https://sg.yahoo.com/finance/news/silicon-valleys-stripe-valued-95bn-101908184.html
Deliveroo aims to sell $1.4 billion of new shares in upcoming IPOBritish food delivery company Deliveroo said on Monday that it plans to sell around 1 billion pounds...,Reuters via Yahoo Singapore Sports,2021-03-15,,,https://sg.sports.yahoo.com/news/deliveroo-aims-sell-1-4-071508181.html
"Vodafone to reap up to 2.3 billion euros from Frankfurt IPOVodafone has priced shares in infrastructure unit Vantage Towers at 24 euros each, valuing the firm...",Reuters via Yahoo Singapore Finance,2021-03-18,,,https://sg.finance.yahoo.com/news/vodafone-seen-reaping-2-13-112817857.html
Lockdown lexicon: the weird words that defined the pandemic‘Lockdown: the act of confining prisoners to their cells’ says Google. This is the f***ing Shawshank...,Evening Standard via Yahoo News Singapore,2021-03-16,,,https://sg.news.yahoo.com/lockdown-lexicon-weird-words-defined-101840411.html
"Uber grants UK drivers worker status in world firstUber on Tuesday (March 16) said it is granting its UK drivers worker status, with benefits including a minimum wage - a world first for the US...",Straits Times,2021-03-17,,,http://www.straitstimes.com/business/companies-markets/uber-grants-uk-drivers-worker-status-in-world-first
"Uber grants UK drivers worker status in world firstUber on Tuesday (March 16) said it is granting its UK drivers worker status, with benefits including a minimum wage - a world first for the US...",Straits Times,2021-03-17,,,https://www.straitstimes.com/business/companies-markets/uber-grants-uk-drivers-worker-status-in-world-first
"Courts close in on gig economy firms globally as workers seek rightsGig economy companies, including Uber and Deliveroo, have faced at least 40 major legal challenges...",The Guardian via Yahoo News,2021-03-17,,,https://sg.yahoo.com/finance/news/courts-close-gig-economy-firms-070009827.html
"Uber wins praise for granting UK drivers worker statusUS ride-hailing giant Uber won praise Wednesday from Britain's government and trade unions after granting UK drivers worker status with associated rights including a minimum wage, sparking hopes ...",AFP via Yahoo Singapore Finance,2021-03-18,,,https://sg.finance.yahoo.com/news/uber-wins-praise-granting-uk-130038272.html
"Amazon? Uber? Deliveroo? Just Eat? What employment terms are your drivers on?Having been “self-employed” and therefore eligible for few benefits or guaranteed income, they will...",Evening Standard via Yahoo News,2021-03-17,,,https://sg.yahoo.com/finance/news/amazon-uber-deliveroo-just-eat-094229872.html
"Uber grants UK drivers employee status in world firstUber on Tuesday said it is granting its UK drivers employee status, with benefits including a minimum wage -- a world first for the US ride-hailing giant. It is a massive change in the business ...",AFP via Yahoo Singapore Finance,2021-03-17,,,https://sg.finance.yahoo.com/news/uber-grants-uk-drivers-employee-210208822.html
"Pressure on gig economy bosses to give their staff a fair deal after Uber u-turn over workers’...The surprise decision prompted MPs, union leaders and employment lawyers to call on other gig...",Evening Standard via Yahoo News Singapore,2021-03-18,,,https://sg.news.yahoo.com/pressure-gig-economy-bosses-staff-124422477.html
